Iteration; RMS; Point count;
0; 350.914007; 13753;
1; 51.276801; 13753;
2; 32.904239; 13753;
3; 26.076457; 13753;
4; 22.111216; 13753;
5; 19.261510; 13753;
6; 17.391338; 13753;
7; 16.217936; 13753;
8; 15.564278; 13753;
9; 15.240067; 13753;
10; 15.061765; 13753;
11; 14.947130; 13753;
12; 14.857232; 13753;
13; 14.777519; 13753;
14; 14.706644; 13753;
15; 14.641220; 13753;
16; 14.575197; 13753;
17; 14.507403; 13753;
18; 14.439855; 13753;
19; 14.369491; 13753;
20; 14.301180; 13753;
21; 14.229776; 13753;
22; 14.162557; 13753;
23; 14.093335; 13753;
24; 14.023135; 13753;
25; 13.951885; 13753;
26; 13.880135; 13753;
27; 13.806035; 13753;
28; 13.735029; 13753;
29; 13.661493; 13753;
30; 13.586078; 13753;
31; 13.511391; 13753;
32; 13.432298; 13753;
33; 13.354972; 13753;
34; 13.272201; 13753;
35; 13.184336; 13753;
36; 13.089285; 13753;
37; 12.971902; 13753;
38; 12.841818; 13753;
39; 12.699384; 13753;
40; 12.543435; 13753;
41; 12.379890; 13753;
42; 12.199545; 13753;
43; 12.009166; 13753;
44; 11.808293; 13753;
45; 11.596287; 13753;
46; 11.373727; 13753;
47; 11.143662; 13753;
48; 10.897863; 13753;
49; 10.663353; 13753;
50; 10.450783; 13753;
51; 10.273766; 13753;
52; 10.121692; 13753;
53; 9.992579; 13753;
54; 9.880531; 13753;
55; 9.783074; 13753;
56; 9.699898; 13753;
57; 9.625698; 13753;
58; 9.560129; 13753;
59; 9.503366; 13753;
60; 9.454607; 13753;
61; 9.410756; 13753;
62; 9.370117; 13753;
63; 9.333051; 13753;
64; 9.299013; 13753;
65; 9.268403; 13753;
66; 9.240734; 13753;
67; 9.215427; 13753;
68; 9.191337; 13753;
69; 9.167552; 13753;
70; 9.145397; 13753;
71; 9.123747; 13753;
72; 9.102947; 13753;
73; 9.083211; 13753;
74; 9.063003; 13753;
75; 9.043565; 13753;
76; 9.025618; 13753;
77; 9.007114; 13753;
78; 8.989123; 13753;
79; 8.971926; 13753;
80; 8.955130; 13753;
81; 8.939837; 13753;
82; 8.924369; 13753;
83; 8.909738; 13753;
84; 8.894569; 13753;
85; 8.879930; 13753;
86; 8.865646; 13753;
87; 8.851843; 13753;
88; 8.838221; 13753;
89; 8.823772; 13753;
90; 8.809662; 13753;
91; 8.795075; 13753;
92; 8.780874; 13753;
93; 8.767074; 13753;
94; 8.752315; 13753;
95; 8.737976; 13753;
96; 8.725101; 13753;
97; 8.712805; 13753;
98; 8.700037; 13753;
99; 8.686749; 13753;
100; 8.674293; 13753;
101; 8.661878; 13753;
102; 8.649517; 13753;
103; 8.637538; 13753;
104; 8.625578; 13753;
105; 8.613751; 13753;
106; 8.602159; 13753;
107; 8.591297; 13753;
108; 8.580489; 13753;
109; 8.569280; 13753;
110; 8.557936; 13753;
111; 8.546313; 13753;
112; 8.535329; 13753;
113; 8.525294; 13753;
114; 8.515066; 13753;
115; 8.504876; 13753;
116; 8.495117; 13753;
117; 8.485190; 13753;
118; 8.475910; 13753;
119; 8.466508; 13753;
120; 8.457624; 13753;
121; 8.449054; 13753;
122; 8.439579; 13753;
123; 8.430458; 13753;
124; 8.421153; 13753;
125; 8.412163; 13753;
126; 8.403622; 13753;
127; 8.395044; 13753;
128; 8.386706; 13753;
129; 8.378068; 13753;
130; 8.370037; 13753;
131; 8.361660; 13753;
132; 8.353191; 13753;
133; 8.344280; 13753;
134; 8.335716; 13753;
135; 8.327600; 13753;
136; 8.319702; 13753;
137; 8.311560; 13753;
138; 8.303606; 13753;
139; 8.295559; 13753;
140; 8.288213; 13753;
141; 8.281486; 13753;
142; 8.274698; 13753;
143; 8.267975; 13753;
144; 8.261411; 13753;
145; 8.255131; 13753;
146; 8.249109; 13753;
147; 8.242550; 13753;
148; 8.236111; 13753;
149; 8.230190; 13753;
150; 8.225099; 13753;
151; 8.219861; 13753;
152; 8.214590; 13753;
153; 8.209719; 13753;
154; 8.205024; 13753;
155; 8.199835; 13753;
156; 8.194131; 13753;
157; 8.188601; 13753;
158; 8.182942; 13753;
159; 8.177641; 13753;
160; 8.172686; 13753;
161; 8.167750; 13753;
162; 8.163170; 13753;
163; 8.158952; 13753;
164; 8.154529; 13753;
165; 8.150314; 13753;
166; 8.146103; 13753;
167; 8.141626; 13753;
168; 8.136622; 13753;
169; 8.131672; 13753;
170; 8.127198; 13753;
171; 8.122966; 13753;
172; 8.118799; 13753;
173; 8.114826; 13753;
174; 8.110907; 13753;
175; 8.106833; 13753;
176; 8.102883; 13753;
177; 8.099013; 13753;
178; 8.095562; 13753;
179; 8.092265; 13753;
180; 8.088852; 13753;
181; 8.085742; 13753;
182; 8.082726; 13753;
183; 8.079956; 13753;
184; 8.077240; 13753;
185; 8.074415; 13753;
186; 8.071739; 13753;
187; 8.068987; 13753;
188; 8.066058; 13753;
189; 8.063239; 13753;
190; 8.060516; 13753;
191; 8.058189; 13753;
192; 8.056080; 13753;
193; 8.053766; 13753;
194; 8.051559; 13753;
195; 8.049119; 13753;
196; 8.046650; 13753;
197; 8.044237; 13753;
198; 8.042106; 13753;
199; 8.040257; 13753;
200; 8.038477; 13753;
201; 8.036463; 13753;
202; 8.034553; 13753;
203; 8.032997; 13753;
204; 8.031369; 13753;
205; 8.029633; 13753;
206; 8.027596; 13753;
207; 8.025408; 13753;
208; 8.023223; 13753;
209; 8.021049; 13753;
210; 8.018737; 13753;
211; 8.016488; 13753;
212; 8.014438; 13753;
213; 8.012502; 13753;
214; 8.010750; 13753;
215; 8.009121; 13753;
216; 8.007422; 13753;
217; 8.005640; 13753;
218; 8.004023; 13753;
219; 8.002460; 13753;
220; 8.000944; 13753;
221; 7.999380; 13753;
222; 7.997895; 13753;
223; 7.996413; 13753;
224; 7.995042; 13753;
225; 7.993717; 13753;
226; 7.992608; 13753;
227; 7.991493; 13753;
228; 7.990477; 13753;
229; 7.989353; 13753;
230; 7.988307; 13753;
231; 7.987234; 13753;
232; 7.986069; 13753;
233; 7.984575; 13753;
234; 7.983069; 13753;
235; 7.981534; 13753;
236; 7.979827; 13753;
237; 7.978169; 13753;
238; 7.976650; 13753;
239; 7.975159; 13753;
240; 7.973756; 13753;
241; 7.972313; 13753;
242; 7.970944; 13753;
243; 7.969882; 13753;
244; 7.968877; 13753;
245; 7.967888; 13753;
246; 7.967103; 13753;
247; 7.966296; 13753;
248; 7.965490; 13753;
249; 7.964679; 13753;
250; 7.963855; 13753;
251; 7.962945; 13753;
252; 7.961997; 13753;
253; 7.961049; 13753;
254; 7.960015; 13753;
255; 7.959079; 13753;
256; 7.958227; 13753;
257; 7.957410; 13753;
258; 7.956547; 13753;
259; 7.955664; 13753;
260; 7.954752; 13753;
261; 7.953967; 13753;
262; 7.953209; 13753;
263; 7.952472; 13753;
264; 7.951858; 13753;
265; 7.951301; 13753;
266; 7.950801; 13753;
267; 7.950200; 13753;
268; 7.949638; 13753;
269; 7.949136; 13753;
270; 7.948565; 13753;
271; 7.948059; 13753;
272; 7.947436; 13753;
273; 7.946758; 13753;
274; 7.946090; 13753;
275; 7.945555; 13753;
276; 7.945022; 13753;
277; 7.944399; 13753;
278; 7.943825; 13753;
279; 7.943206; 13753;
280; 7.942585; 13753;
281; 7.942114; 13753;
282; 7.941673; 13753;
283; 7.941235; 13753;
284; 7.940853; 13753;
285; 7.940589; 13753;
286; 7.940398; 13753;
287; 7.940192; 13753;
288; 7.939981; 13753;
289; 7.939727; 13753;
290; 7.939413; 13753;
291; 7.939091; 13753;
292; 7.938807; 13753;
293; 7.938452; 13753;
294; 7.938069; 13753;
295; 7.937745; 13753;
296; 7.937408; 13753;
297; 7.937024; 13753;
298; 7.936642; 13753;
299; 7.936345; 13753;
300; 7.936065; 13753;
301; 7.935650; 13753;
302; 7.935201; 13753;
303; 7.934785; 13753;
304; 7.934386; 13753;
305; 7.934060; 13753;
306; 7.933797; 13753;
307; 7.933502; 13753;
308; 7.933205; 13753;
309; 7.932867; 13753;
310; 7.932596; 13753;
311; 7.932312; 13753;
312; 7.931987; 13753;
313; 7.931674; 13753;
314; 7.931368; 13753;
315; 7.931041; 13753;
316; 7.930719; 13753;
317; 7.930345; 13753;
318; 7.929930; 13753;
319; 7.929496; 13753;
320; 7.929018; 13753;
321; 7.928548; 13753;
322; 7.928015; 13753;
323; 7.927544; 13753;
324; 7.927174; 13753;
325; 7.926831; 13753;
326; 7.926510; 13753;
327; 7.926140; 13753;
328; 7.925838; 13753;
329; 7.925560; 13753;
330; 7.925342; 13753;
331; 7.925108; 13753;
332; 7.924892; 13753;
333; 7.924731; 13753;
334; 7.924623; 13753;
335; 7.924527; 13753;
336; 7.924434; 13753;
337; 7.924360; 13753;
338; 7.924291; 13753;
339; 7.924219; 13753;
340; 7.924132; 13753;
341; 7.924046; 13753;
342; 7.923958; 13753;
343; 7.923855; 13753;
344; 7.923749; 13753;
345; 7.923644; 13753;
346; 7.923524; 13753;
347; 7.923421; 13753;
348; 7.923358; 13753;
349; 7.923284; 13753;
350; 7.923201; 13753;
351; 7.923105; 13753;
352; 7.922970; 13753;
353; 7.922791; 13753;
354; 7.922622; 13753;
355; 7.922472; 13753;
356; 7.922326; 13753;
357; 7.922207; 13753;
358; 7.922145; 13753;
359; 7.922100; 13753;
360; 7.922050; 13753;
361; 7.922000; 13753;
362; 7.921960; 13753;
363; 7.921928; 13753;
364; 7.921908; 13753;
365; 7.921898; 13753;
366; 7.921892; 13753;
